Index,,,,,,Eurobarometer 91.5 - ITALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VOLUME C Pondéré Weighted,,,,,,,,,,Terrain/Fieldwork : 07/06 - 26/06/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Man,Woman,,,,,,,,,,,,Before 1928,1928 - 1945,Total 'Before 1946',1946 - 1964 'BB',1965 - 1980 'X',After 1980 'Millenials',,,,Still studying,Self- employed,Managers,Other white collars,Manual workers,House persons,Unemployed,Retired,Students,Married,Single living with a partner,Single,Divorced or separated,Widow,Single Household without children,Single Household with children,Multiple Household without children,Household with children,,,,,Most of the time,From time to time,Almost never/ Never,The working class,The lower middle class,The middle class,The upper middle class,The upper class,Rural village,Small/ mid size town,Large town,Everyday,Often/ Sometimes,Never,,,,,Strong,Medium,Low,Not at all,Agree,Disagree,Agree,Disagree,Left,Centre,Right,Frequently,Occasio-nally,Never,Right direction,Wrong direction,Neither,Right direction,Wrong direction,Neither,A good thing,A bad thing,Neither a good thing nor a bad thing,Benefited,Not benefited,Voted,Did not vote,Voted,Did not vote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,1026,491,535,112,213,268,434,112,127,151,203,141,197,95,0,101,101,333,299,294,252,395,235,110,116,78,168,144,92,68,251,110,590,105,204,31,81,279,38,330,366,135,330,241,319,103,493,395,120,172,606,90,9,101,687,237,716,121,161,173,448,233,172,152,454,206,214,391,568,477,483,226,258,233,120,513,392,285,556,110,242,541,102,376,203,417,433,491,537,489,563,463,275,199,207,230,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 GAUCHE,38,23,15,5,9,7,16,5,7,5,6,7,7,2,0,2,2,14,7,15,9,10,12,7,2,6,5,3,1,5,10,7,21,2,9,1,3,10,3,11,11,2,11,7,18,1,12,25,3,1,32,3,0,0,31,8,32,1,5,11,18,8,2,11,16,8,3,28,10,27,11,38,0,0,2,24,12,13,21,2,14,18,3,28,3,8,27,11,34,5,35,4,5,4,10,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    LEFT,4%,5%,3%,5%,4%,3%,4%,5%,5%,3%,3%,5%,4%,2%,- ,2%,2%,4%,2%,5%,3%,3%,5%,7%,2%,8%,3%,2%,2%,7%,4%,7%,3%,1%,5%,3%,4%,4%,9%,3%,3%,2%,3%,3%,6%,1%,2%,6%,2%,- ,5%,3%,- ,- ,4%,3%,4%,1%,3%,6%,4%,3%,1%,7%,3%,4%,1%,7%,2%,6%,2%,17%,- ,- ,2%,5%,3%,4%,4%,2%,6%,3%,3%,7%,1%,2%,6%,2%,6%,1%,6%,1%,2%,2%,5%,8%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,30,12,18,2,5,8,15,2,2,4,6,5,7,4,0,4,4,12,8,7,12,8,7,2,1,3,5,4,2,2,11,2,16,7,2,3,1,4,3,10,13,4,9,9,8,0,22,7,3,7,15,5,0,4,18,8,20,6,4,6,14,7,4,7,14,5,4,16,13,15,14,30,0,0,7,16,7,3,27,0,8,21,2,14,6,10,14,15,25,5,27,3,4,10,9,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3%,2%,3%,1%,3%,3%,4%,1%,2%,3%,3%,3%,4%,4%,- ,4%,4%,4%,3%,2%,5%,2%,3%,2%,1%,4%,3%,3%,2%,3%,4%,2%,3%,7%,1%,11%,2%,1%,7%,3%,4%,3%,3%,4%,2%,- ,4%,2%,3%,4%,3%,5%,- ,4%,3%,3%,3%,5%,2%,3%,3%,3%,2%,5%,3%,2%,2%,4%,2%,3%,3%,13%,- ,- ,6%,3%,2%,1%,5%,- ,3%,4%,2%,4%,3%,3%,3%,3%,5%,1%,5%,1%,1%,5%,5%,2%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,82,49,33,9,18,24,32,9,13,11,18,13,13,6,0,6,6,26,26,25,8,32,30,11,12,10,14,9,5,3,16,11,50,6,18,3,6,25,2,20,37,11,17,26,28,3,44,33,5,13,51,11,1,8,51,23,65,10,2,20,41,15,7,14,44,14,10,40,39,47,33,82,0,0,12,47,24,16,54,9,21,47,8,44,7,30,46,31,64,18,58,25,17,14,28,16,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8%,10%,6%,8%,8%,9%,7%,8%,10%,7%,8%,9%,7%,6%,- ,6%,6%,8%,9%,8%,3%,8%,13%,10%,11%,13%,8%,6%,6%,5%,6%,10%,9%,6%,9%,8%,7%,9%,4%,6%,10%,8%,5%,11%,9%,3%,9%,8%,4%,7%,9%,12%,8%,8%,7%,10%,9%,8%,1%,11%,9%,6%,4%,10%,10%,7%,5%,10%,7%,10%,7%,37%,- ,- ,10%,9%,6%,6%,10%,9%,9%,9%,8%,12%,4%,7%,11%,6%,12%,4%,10%,5%,6%,7%,13%,7%,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,75,34,41,7,16,24,29,7,9,11,19,7,13,9,0,10,10,18,25,22,15,29,21,8,4,8,15,7,8,6,19,8,54,5,13,2,1,13,3,26,33,4,27,18,25,10,33,31,6,11,51,5,0,4,52,20,54,10,10,18,32,21,5,14,36,14,10,42,32,45,29,75,0,0,13,39,23,15,51,5,14,43,6,45,13,17,44,29,47,29,54,21,15,16,16,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7%,7%,8%,6%,8%,9%,7%,6%,7%,7%,9%,5%,6%,10%,- ,10%,10%,6%,8%,7%,6%,8%,9%,7%,4%,11%,9%,5%,8%,8%,8%,7%,9%,5%,6%,6%,2%,5%,8%,8%,9%,3%,8%,7%,8%,10%,7%,8%,5%,7%,8%,6%,- ,4%,8%,8%,8%,8%,6%,10%,7%,9%,3%,9%,8%,7%,5%,11%,6%,9%,6%,33%,- ,- ,11%,7%,6%,5%,9%,4%,6%,8%,6%,12%,6%,4%,10%,6%,9%,6%,10%,4%,5%,8%,8%,8%,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,158,78,80,25,35,47,52,25,22,21,38,25,16,11,0,11,11,41,49,58,40,57,37,22,29,9,21,24,15,12,27,22,83,16,43,8,6,51,6,47,52,20,43,35,60,14,84,57,17,20,99,19,2,9,120,30,131,13,13,32,81,31,15,24,79,32,22,66,89,89,67,0,158,0,21,87,51,46,87,20,41,83,15,45,36,74,73,72,101,57,106,53,37,30,27,49,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15%,16%,15%,23%,16%,17%,12%,23%,17%,14%,19%,18%,8%,11%,- ,11%,11%,12%,16%,20%,16%,15%,16%,20%,25%,11%,13%,17%,16%,18%,11%,20%,14%,15%,21%,25%,8%,18%,17%,14%,14%,15%,13%,14%,19%,14%,17%,14%,14%,12%,16%,21%,17%,9%,17%,13%,18%,11%,8%,19%,18%,13%,9%,16%,17%,16%,10%,17%,16%,19%,14%,- ,61%,- ,17%,17%,13%,16%,16%,19%,17%,15%,15%,12%,18%,18%,17%,15%,19%,12%,19%,11%,14%,15%,13%,21%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,99,50,50,9,24,44,23,9,13,25,30,12,7,4,0,5,5,17,47,30,15,51,24,9,11,12,30,15,6,6,11,9,57,12,20,4,3,23,5,31,38,13,32,23,31,6,55,38,10,14,68,6,0,10,73,17,78,16,4,24,52,18,6,24,48,19,8,41,55,55,44,0,99,0,20,59,20,34,52,9,21,62,8,37,18,43,45,48,68,31,72,27,21,31,14,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10%,10%,9%,8%,11%,16%,5%,8%,10%,16%,15%,8%,4%,4%,- ,5%,5%,5%,16%,10%,6%,13%,10%,9%,9%,15%,17%,11%,7%,8%,5%,9%,10%,12%,10%,13%,4%,8%,13%,9%,11%,10%,10%,10%,10%,6%,11%,10%,9%,8%,11%,7%,- ,10%,11%,7%,11%,13%,3%,14%,12%,8%,4%,16%,11%,9%,4%,11%,10%,11%,9%,- ,39%,- ,17%,12%,5%,12%,9%,9%,9%,11%,8%,10%,9%,10%,10%,10%,13%,6%,13%,6%,8%,16%,7%,5%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,78,39,39,5,16,27,30,5,10,15,18,12,15,3,0,3,3,28,30,18,12,37,24,4,11,6,16,16,4,4,16,4,47,9,13,5,4,19,3,26,29,6,28,22,22,8,44,23,7,10,49,11,0,3,53,22,63,8,8,16,35,18,9,13,42,13,9,37,40,44,33,0,0,78,12,46,20,25,41,5,22,41,7,30,13,33,35,40,60,18,58,20,30,12,15,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8%,8%,7%,4%,8%,10%,7%,4%,8%,10%,9%,9%,8%,3%,- ,3%,3%,8%,10%,6%,5%,9%,10%,4%,10%,8%,10%,11%,5%,6%,6%,4%,8%,8%,6%,17%,5%,7%,9%,8%,8%,4%,9%,9%,7%,7%,9%,6%,6%,6%,8%,13%,- ,3%,8%,9%,9%,6%,5%,9%,8%,8%,5%,9%,9%,6%,4%,9%,7%,9%,7%,- ,- ,34%,10%,9%,5%,9%,7%,5%,9%,8%,7%,8%,6%,8%,8%,8%,11%,4%,10%,4%,11%,6%,7%,7%,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,92,55,36,4,16,26,45,4,7,13,22,11,31,3,0,3,3,42,30,16,19,41,26,4,13,8,16,10,13,5,22,4,66,11,9,0,5,13,1,28,49,11,26,24,31,5,53,32,4,10,65,9,1,7,67,18,62,17,12,15,38,26,13,17,40,25,10,42,47,46,43,0,0,92,14,47,31,43,36,9,36,42,6,36,20,35,43,47,70,21,69,22,35,7,17,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9%,11%,7%,4%,8%,10%,10%,4%,5%,9%,11%,7%,16%,4%,- ,3%,3%,13%,10%,6%,7%,10%,11%,4%,12%,11%,10%,7%,14%,7%,9%,4%,11%,11%,4%,1%,6%,5%,3%,9%,13%,8%,8%,10%,10%,5%,11%,8%,3%,6%,11%,10%,9%,6%,10%,8%,9%,14%,8%,9%,8%,11%,7%,11%,9%,12%,5%,11%,8%,10%,9%,- ,- ,39%,12%,9%,8%,15%,7%,8%,15%,8%,6%,9%,9%,9%,10%,10%,13%,4%,12%,5%,13%,4%,8%,10%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,24,13,11,1,5,7,12,1,1,4,7,4,7,1,0,1,1,11,9,3,10,8,4,2,2,3,5,6,1,0,6,2,15,4,4,0,2,5,0,9,10,6,6,5,7,1,10,14,0,3,19,2,0,3,13,8,19,2,3,7,10,4,4,5,15,1,3,11,13,14,10,0,0,24,3,16,5,13,7,2,9,12,2,11,5,8,10,15,18,6,21,3,10,2,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2%,3%,2%,1%,2%,2%,3%,1%,1%,3%,3%,3%,3%,1%,- ,1%,1%,3%,3%,1%,4%,2%,2%,1%,1%,4%,3%,4%,1%,- ,3%,1%,2%,4%,2%,- ,2%,2%,- ,3%,3%,5%,2%,2%,2%,1%,2%,3%,- ,2%,3%,2%,- ,3%,2%,4%,3%,2%,2%,4%,2%,2%,2%,4%,3%,1%,1%,3%,2%,3%,2%,- ,- ,10%,3%,3%,1%,5%,1%,1%,4%,2%,2%,3%,3%,2%,2%,3%,3%,1%,4%,1%,4%,1%,2%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10 DROITE,39,17,22,3,6,8,22,3,4,5,6,4,11,8,0,8,8,14,8,9,16,13,5,4,2,2,7,2,3,0,18,4,19,2,10,1,6,15,2,11,11,9,15,7,8,3,14,22,3,7,27,2,0,2,36,0,24,1,13,2,10,9,18,2,12,11,14,8,24,19,14,0,0,39,1,13,25,17,18,5,5,30,1,3,30,5,5,34,26,13,30,9,12,8,3,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     RIGHT,4%,4%,4%,3%,3%,3%,5%,3%,3%,3%,3%,3%,5%,8%,- ,8%,8%,4%,3%,3%,7%,3%,2%,4%,1%,3%,4%,1%,3%,- ,7%,4%,3%,2%,5%,3%,7%,5%,4%,3%,3%,6%,4%,3%,2%,2%,3%,6%,2%,4%,5%,2%,- ,2%,5%,- ,3%,1%,8%,1%,2%,4%,10%,1%,3%,5%,7%,2%,4%,4%,3%,- ,- ,17%,- ,2%,7%,6%,3%,4%,2%,6%,1%,1%,15%,1%,1%,7%,5%,3%,5%,2%,4%,4%,1%,7%,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refus,245,97,148,23,50,38,135,23,30,33,24,34,61,39,0,41,41,94,47,63,80,95,35,19,28,8,30,37,27,18,78,19,139,23,38,3,38,74,4,92,70,43,95,48,58,34,103,94,51,60,105,14,6,36,130,79,125,30,76,21,93,60,72,15,99,45,86,52,162,65,147,0,0,0,12,106,126,48,139,28,39,120,32,60,42,127,72,119,13,232,22,223,72,53,53,40,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refusal,24%,20%,28%,21%,23%,14%,31%,21%,24%,22%,12%,24%,31%,41%,- ,41%,41%,28%,16%,22%,32%,24%,15%,17%,24%,10%,18%,26%,29%,26%,31%,17%,24%,22%,19%,9%,47%,27%,12%,28%,19%,32%,29%,20%,18%,33%,21%,24%,43%,35%,17%,16%,66%,35%,19%,33%,17%,25%,47%,12%,21%,26%,42%,10%,22%,22%,40%,13%,28%,14%,30%,- ,- ,- ,10%,21%,32%,17%,25%,26%,16%,22%,31%,16%,21%,30%,17%,24%,2%,47%,4%,48%,26%,27%,26%,17%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NSP,65,22,43,18,14,10,23,18,10,5,10,9,8,6,0,6,6,17,13,29,16,13,9,17,1,2,4,11,7,8,16,17,25,8,25,1,5,26,5,20,12,5,20,17,22,19,18,19,11,16,25,3,0,17,43,6,43,7,11,3,25,16,20,3,9,18,34,7,45,10,39,0,0,0,3,14,48,12,22,15,10,21,12,21,10,26,19,32,11,54,11,53,15,11,11,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DK,6%,4%,8%,16%,6%,4%,5%,16%,8%,3%,5%,6%,4%,6%,- ,6%,6%,5%,4%,10%,6%,3%,4%,15%,- ,2%,2%,7%,7%,12%,6%,15%,4%,7%,12%,4%,6%,9%,14%,6%,3%,4%,6%,7%,7%,18%,4%,5%,9%,9%,4%,3%,- ,16%,6%,2%,6%,6%,7%,2%,6%,7%,11%,2%,2%,9%,16%,2%,8%,2%,8%,- ,- ,- ,2%,3%,12%,4%,4%,13%,4%,4%,11%,6%,5%,6%,5%,6%,2%,11%,2%,12%,6%,5%,5%,6%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moyenne/Average,5.5,5.5,5.5,5.0,5.3,5.5,5.6,5.0,5.1,5.6,5.5,5.3,5.9,5.4,0.0,5.5,5.5,5.7,5.6,5.1,5.7,5.6,5.2,4.9,5.5,5.1,5.7,5.7,5.8,4.8,5.7,4.9,5.5,5.6,5.3,5.0,5.9,5.5,4.9,5.5,5.5,5.9,5.6,5.4,5.2,5.6,5.5,5.5,5.2,5.5,5.5,5.3,5.3,5.5,5.6,5.2,5.4,5.5,6.1,5.1,5.3,5.6,6.6,5.2,5.4,5.6,5.9,5.1,5.7,5.4,5.6,2.9,5.4,8.1,5.4,5.4,5.7,6.1,5.1,5.7,5.5,5.5,5.2,4.9,6.4,5.5,5.1,5.9,5.4,5.6,5.5,5.5,6.1,5.2,4.9,5.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
